2025-10-11 18:50:47,218 | backtest | INFO | run_backtest:29 | Starting backtest: ['GBPUSD.', 'EURUSD.'] from 2025-10-01 00:00:00 to 2025-10-09 00:00:00
2025-10-11 18:50:47,219 | backtest | INFO | run_backtest:64 | Fetching data for ['GBPUSD.', 'EURUSD.'] from 2025-10-01 00:00:00 to 2025-10-09 00:00:00
2025-10-11 18:50:58,634 | backtest | INFO | run_backtest:42 | Generating plots and reports...
2025-10-11 18:50:58,634 | backtest | INFO | run_backtest:56 | Generating chart for GBPUSD.
2025-10-11 18:51:07,161 | backtest | INFO | run_backtest:92 | Chart created for GBPUSD.: reports\interactive\GBPUSD._interactive_20251011_185104.html
2025-10-11 18:51:07,161 | backtest | INFO | run_backtest:56 | Generating chart for EURUSD.
2025-10-11 18:51:08,084 | backtest | INFO | run_backtest:92 | Chart created for EURUSD.: reports\interactive\EURUSD._interactive_20251011_185108.html
2025-10-11 18:51:09,150 | backtest | INFO | run_backtest:111 | Comprehensive report generated: reports\full_report_20251011_185108\index.html
2025-10-11 18:51:09,150 | backtest | INFO | run_backtest:128 | Plotting completed. Generated 2 charts.
